RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
1201-1400,1001-1200,Universidad Aut_oma de Guadalajara (UAG),Mexico,Americas,M,FC,MD,C,6.5,601+,3.8,601+,19.6,684,1.1,701+,37.9,426,23,502,2.1,701+,2,701+,,,
1201-1400,1001-1200,Universidad Aut_oma del Estado de Hidalgo (UAEH),Mexico,Americas,XL,FC,MD,A,3.2,601+,6,601+,45.2,342,1.4,701+,2,701+,1.6,701+,8.3,701+,2.1,701+,5.8,701+,
1201-1400,1201-1400,Universidad Cat_ica del Norte,Chile,Americas,M,FC,HI,B,4.5,601+,2.3,601+,6.7,701+,5.9,701+,13.5,694,3.8,701+,46.2,701+,2,701+,8.5,696=,
1201-1400,1201-1400,Universidad Central del Ecuador,Ecuador,Americas,L,FC,MD,A,8.1,601+,3.6,601+,11.3,701+,1.2,701+,,,,,10.1,701+,20.9,548,1,701+,
1201-1400,1201-1400,Universidad de Las Am_icas (UDLA) Ecuador,Ecuador,Americas,L,CO,MD,B,8.3,601+,3.8,601+,13.3,701+,1.7,701+,19.2,612,2.5,701+,15.7,701+,4.9,701+,1,701+,
1201-1400,1001-1200,Universidad de Monterrey (UDEM),Mexico,Americas,M,FO,HI,B,12.5,601+,13,601+,7.5,701+,1.5,701+,13.7,691,3.7,701+,4.4,701+,4.8,701+,1.3,701+,
1201-1400,1001-1200,Universidad de Oriente Santiago de Cuba,Cuba,Americas,L,FO,MD,A,8.4,601+,5.2,601+,29.8,524,1.1,701+,,,,,7.3,701+,5,701+,1,701+,
1201-1400,1201-1400,Universidad de Panama,Panama,Americas,XL,FO,MD,A,6.6,601+,5.5,601+,2.9,701+,1.1,701+,4.6,701+,2.7,701+,9,701+,49.1,262,1,701+,
1201-1400,1201-1400,Universidad de Piura,Peru,Americas,M,FO,HI,B,7.5,601+,10.7,601+,5,701+,1.2,701+,5.7,701+,1.1,701+,3.3,701+,12.5,701+,1,701+,
1201-1400,1201-1400,Universidad de San Carlos de Guatemala - USAC,Guatemala,Americas,XL,FC,LO,A,10.2,601+,3.9,601+,4.7,701+,1,701+,,,,,9.4,701+,56,221,1,701+,
1201-1400,1401+,Universidad de Tarapaca,Chile,Americas,M,FO,VH,A,3.5,601+,1.6,601+,2.4,701+,9.8,701+,,,,,41.7,701+,2.1,701+,1,701+,
