Date,Year,t,Elevation,Change,Content
3-Mar,2021,61,1087.14,-0.02,10611000
4-Mar,2021,62,1087.07,-0.07,10605000
5-Mar,2021,63,1087.01,-0.06,10600000
6-Mar,2021,64,1087.03,0.02,10602000
7-Mar,2021,65,1087.07,0.04,10605000
8-Mar,2021,66,1086.88,-0.19,10589000
9-Mar,2021,67,1086.78,-0.1,10581000
10-Mar,2021,68,1086.65,-0.13,10570000
11-Mar,2021,69,1086.51,-0.14,10558000
12-Mar,2021,70,1086.36,-0.15,10545000
13-Mar,2021,71,1086.26,-0.1,10536000
14-Mar,2021,72,1086.18,-0.08,10530000
15-Mar,2021,73,1086.05,-0.13,10519000
16-Mar,2021,74,1085.93,-0.12,10508000
17-Mar,2021,75,1085.8,-0.13,10497000
18-Mar,2021,76,1085.61,-0.19,10481000
19-Mar,2021,77,1085.29,-0.32,10454000
20-Mar,2021,78,1085.12,-0.17,10440000
21-Mar,2021,79,1084.97,-0.15,10427000
22-Mar,2021,80,1084.67,-0.3,10402000
23-Mar,2021,81,1084.39,-0.28,10378000
24-Mar,2021,82,1084.33,-0.06,10373000
25-Mar,2021,83,1084.37,0.04,10376000
26-Mar,2021,84,1084.47,0.1,10385000
27-Mar,2021,85,1084.58,0.11,10394000
28-Mar,2021,86,1084.65,0.07,10400000
29-Mar,2021,87,1084.64,-0.01,10399000
30-Mar,2021,88,1084.51,-0.13,10388000
31-Mar,2021,89,1084.39,-0.12,10378000
1-Apr,2021,90,1084.33,-0.06,10373010
2-Apr,2021,91,1084.23,-0.1,10365000
3-Apr,2021,92,1084.12,-0.11,10355000
4-Apr,2021,93,1084.01,-0.11,10346000
5-Apr,2021,94,1083.83,-0.18,10331000
6-Apr,2021,95,1083.72,-0.11,10322000
7-Apr,2021,96,1083.56,-0.16,10308000
8-Apr,2021,97,1083.4,-0.16,10295000
9-Apr,2021,98,1083.23,-0.17,10280000
10-Apr,2021,99,1083.08,-0.15,10267818
11-Apr,2021,100,1083.04,-0.04,10264458
12-Apr,2021,101,1082.86,-0.18,10249366
13-Apr,2021,102,1082.74,-0.12,10239000
14-Apr,2021,103,1082.48,-0.26,10218000
15-Apr,2021,104,1082.33,-0.15,10205000
16-Apr,2021,105,1082.22,-0.11,10196000
17-Apr,2021,106,1082.08,-0.14,10184000
18-Apr,2021,107,1081.98,-0.1,10176000
19-Apr,2021,108,1081.85,-0.13,10165000
20-Apr,2021,109,1081.57,-0.28,10141000
21-Apr,2021,110,1081.34,-0.23,10122000
22-Apr,2021,111,1081.1,-0.24,10102000
23-Apr,2021,112,1080.88,-0.22,10084000
24-Apr,2021,113,1080.61,-0.27,10061589
25-Apr,2021,114,1080.43,-0.18,10046642
26-Apr,2021,115,1080.22,-0.21,10029000
27-Apr,2021,116,1080.03,-0.19,10013000
28-Apr,2021,117,1079.81,-0.22,9995000
29-Apr,2021,118,1079.56,-0.25,9975000
30-Apr,2021,119,1079.3,-0.26,9953000
1-May,2021,120,1079.07,-0.23,9934000
2-May,2021,121,1078.92,-0.15,9922000
3-May,2021,122,1078.73,-0.19,9906000
4-May,2021,123,1078.46,-0.27,9884000
5-May,2021,124,1078.21,-0.25,9863000
6-May,2021,125,1077.98,-0.23,9844000
7-May,2021,126,1077.7,-0.28,9821000
8-May,2021,127,1077.56,-0.14,9810000
9-May,2021,128,1077.49,-0.07,9804000
10-May,2021,129,1077.32,-0.17,9790000
11-May,2021,130,1077.15,-0.17,9776000
12-May,2021,131,1076.95,-0.2,9760000
13-May,2021,132,1076.8,-0.15,9748000
14-May,2021,133,1076.6,-0.2,9731000
15-May,2021,134,1076.46,-0.14,9720000
16-May,2021,135,1076.41,-0.05,9716000
17-May,2021,136,1076.32,-0.09,9708000
18-May,2021,137,1076.28,-0.04,9705000
19-May,2021,138,1075.86,-0.42,9671000
20-May,2021,139,1075.65,-0.21,9654000
21-May,2021,140,1075.48,-0.17,9640000
22-May,2021,141,1075.35,-0.13,9629000
23-May,2021,142,1075.28,-0.07,9624000
24-May,2021,143,1075.02,-0.26,9603000
25-May,2021,144,1074.74,-0.28,9580000
26-May,2021,145,1074.48,-0.26,9559000
27-May,2021,146,1074.21,-0.27,9537000
28-May,2021,147,1074,-0.21,9520008
29-May,2021,148,1073.82,-0.18,9505478
30-May,2021,149,1073.67,-0.15,9493370
31-May,2021,150,1073.5,-0.17,9480000
1-Jun,2021,151,1073.19,-0.31,9455000
2-Jun,2021,152,1072.87,-0.32,9429000
3-Jun,2021,153,1072.53,-0.34,9402000
4-Jun,2021,154,1072.34,-0.19,9386000
5-Jun,2021,155,1072.19,-0.15,9374000
6-Jun,2021,156,1072.12,-0.07,9369000
7-Jun,2021,157,1071.92,-0.2,9353000
8-Jun,2021,158,1071.77,-0.15,9341000
9-Jun,2021,159,1071.57,-0.2,9325000
10-Jun,2021,160,1071.44,-0.13,9314000
11-Jun,2021,161,1071.31,-0.13,9304000
12-Jun,2021,162,1071.23,-0.08,9297000
13-Jun,2021,163,1071.11,-0.12,9288000
14-Jun,2021,164,1070.99,-0.12,9278000
15-Jun,2021,165,1070.76,-0.23,9260000
16-Jun,2021,166,1070.6,-0.16,9247000
17-Jun,2021,167,1070.45,-0.15,9235000
18-Jun,2021,168,1070.28,-0.17,9222000
19-Jun,2021,169,1070.23,-0.05,9218000
20-Jun,2021,170,1070.23,0,9218000
21-Jun,2021,171,1070.05,-0.18,9203000
22-Jun,2021,172,1069.85,-0.2,9188000
23-Jun,2021,173,1069.66,-0.19,9173000
24-Jun,2021,174,1069.61,-0.05,9169000
25-Jun,2021,175,1069.47,-0.14,9157000
26-Jun,2021,176,1069.44,-0.03,9155000
27-Jun,2021,177,1069.4,-0.04,9151910
28-Jun,2021,178,1069.17,-0.23,9134000
29-Jun,2021,179,1069.04,-0.13,9123000
30-Jun,2021,180,1068.77,-0.27,9102000
1-Jul,2021,181,1068.66,-0.11,9093000
2-Jul,2021,182,1068.54,-0.12,9084000
3-Jul,2021,183,1068.52,-0.02,9082000
4-Jul,2021,184,1068.54,0.02,9084000
5-Jul,2021,185,1068.55,0.01,9085000
6-Jul,2021,186,1068.47,-0.08,9078000
7-Jul,2021,187,1068.32,-0.15,9067000
8-Jul,2021,188,1068.16,-0.16,9054000
9-Jul,2021,189,1068.08,-0.08,9048000
10-Jul,2021,190,1068.08,0,9048000
11-Jul,2021,191,1068.08,0,9048000
12-Jul,2021,192,1067.94,-0.14,9037000
13-Jul,2021,193,1067.86,-0.08,9030000
14-Jul,2021,194,1067.85,-0.01,9030000
15-Jul,2021,195,1067.67,-0.18,9015000
16-Jul,2021,196,1067.75,0.08,9022000
17-Jul,2021,197,1067.82,0.07,9027000
18-Jul,2021,198,1067.89,0.07,9033000
19-Jul,2021,199,1067.9,0.01,9033000
20-Jul,2021,200,1067.79,-0.11,9025000
21-Jul,2021,201,1067.67,-0.12,9015376
22-Jul,2021,202,1067.6,-0.07,9009872
23-Jul,2021,203,1067.59,-0.01,9009000
24-Jul,2021,204,1067.61,0.02,9011000
25-Jul,2021,205,1067.82,0.21,9027000
26-Jul,2021,206,1067.79,-0.03,9024813
27-Jul,2021,207,1067.71,-0.08,9019000
28-Jul,2021,208,1067.64,-0.07,9013000
29-Jul,2021,209,1067.51,-0.13,9003000
30-Jul,2021,210,1067.57,0.06,9008000
31-Jul,2021,211,1067.65,0.08,9014000
1-Aug,2021,212,1067.83,0.18,9028000
2-Aug,2021,213,1067.85,0.02,9030000
3-Aug,2021,214,1067.89,0.04,9033000
4-Aug,2021,215,1067.81,-0.08,9026000
5-Aug,2021,216,1067.7,-0.11,9018000
6-Aug,2021,217,1067.66,-0.04,9015000
7-Aug,2021,218,1067.73,0.07,9020000
8-Aug,2021,219,1067.81,0.08,9026000
9-Aug,2021,220,1067.87,0.06,9031000
10-Aug,2021,221,1067.85,-0.02,9030000
11-Aug,2021,222,1067.78,-0.07,9024000
12-Aug,2021,223,1067.8,0.02,9026000
13-Aug,2021,224,1067.67,-0.13,9015000
14-Aug,2021,225,1067.66,-0.01,9015000
15-Aug,2021,226,1067.68,0.02,9016000
16-Aug,2021,227,1067.67,-0.01,9015000
17-Aug,2021,228,1067.6,-0.07,9010000
18-Aug,2021,229,1067.53,-0.07,9004000
19-Aug,2021,230,1067.55,0.02,9006000
20-Aug,2021,231,1067.62,0.07,9011000
21-Aug,2021,232,1067.73,0.11,9020000
22-Aug,2021,233,1067.85,0.12,9030000
23-Aug,2021,234,1068,0.15,9041000
24-Aug,2021,235,1068.05,0.05,9045000
25-Aug,2021,236,1068.05,0,9045000
26-Aug,2021,237,1068,-0.05,9041000
27-Aug,2021,238,1067.91,-0.09,9034000
28-Aug,2021,239,1067.91,0,9034000
29-Aug,2021,240,1068.01,0.1,9042000
30-Aug,2021,241,1068,-0.01,9041000
31-Aug,2021,242,1067.96,-0.04,9038000
1-Sep,2021,243,1067.92,-0.04,9035000
2-Sep,2021,244,1067.95,0.03,9037000
3-Sep,2021,245,1067.94,-0.01,9037000
4-Sep,2021,246,1067.96,0.02,9038000
5-Sep,2021,247,1067.93,-0.03,9036000
6-Sep,2021,248,1067.86,-0.07,9030000
7-Sep,2021,249,1067.8,-0.06,9026000
8-Sep,2021,250,1067.72,-0.08,9019000
9-Sep,2021,251,1067.64,-0.08,9013000
10-Sep,2021,252,1067.6,-0.04,9010000
11-Sep,2021,253,1067.66,0.06,9015000
12-Sep,2021,254,1067.72,0.06,9019000
13-Sep,2021,255,1067.6,-0.12,9010000
14-Sep,2021,256,1067.59,-0.01,9009000
15-Sep,2021,257,1067.57,-0.02,9008000
16-Sep,2021,258,1067.56,-0.01,9007000
17-Sep,2021,259,1067.56,0,9007000
18-Sep,2021,260,1067.61,0.05,9011000
19-Sep,2021,261,1067.63,0.02,9012000
20-Sep,2021,262,1067.64,0.01,9013000
21-Sep,2021,263,1067.61,-0.03,9010658
22-Sep,2021,264,1067.49,-0.12,9001000
23-Sep,2021,265,1067.48,-0.01,9000000
24-Sep,2021,266,1067.5,0.02,9002000
25-Sep,2021,267,1067.52,0.02,9004000
26-Sep,2021,268,1067.53,0.01,9004000
27-Sep,2021,269,1067.56,0.03,9007000
28-Sep,2021,270,1067.65,0.09,9014000
29-Sep,2021,271,1067.66,0.01,9015000
30-Sep,2021,272,1067.68,0.02,9016000
1-Oct,2021,273,1067.68,0,9016000
2-Oct,2021,274,1067.68,0,9016000
3-Oct,2021,275,1067.71,0.03,9019000
4-Oct,2021,276,1067.6,-0.11,9010000
5-Oct,2021,277,1067.55,-0.05,9006000
6-Oct,2021,278,1067.44,-0.11,8997000
7-Oct,2021,279,1067.35,-0.09,8990000
8-Oct,2021,280,1067.32,-0.03,8988000
9-Oct,2021,281,1067.36,0.04,8991000
10-Oct,2021,282,1067.37,0.01,8992000
11-Oct,2021,283,1067.41,0.04,8995000
12-Oct,2021,284,1067.52,0.11,9004000
13-Oct,2021,285,1067.61,0.09,9011000
14-Oct,2021,286,1067.71,0.1,9019000
15-Oct,2021,287,1067.8,0.09,9026000
16-Oct,2021,288,1067.88,0.08,9032000
17-Oct,2021,289,1068,0.12,9041000
18-Oct,2021,290,1067.92,-0.08,9035000
19-Oct,2021,291,1067.84,-0.08,9029000
20-Oct,2021,292,1067.75,-0.09,9022000
21-Oct,2021,293,1067.63,-0.12,9012000
22-Oct,2021,294,1067.49,-0.14,9001000
23-Oct,2021,295,1067.4,-0.09,8994000
24-Oct,2021,296,1067.37,-0.03,8992000
25-Oct,2021,297,1067.23,-0.14,8981000
26-Oct,2021,298,1067.21,-0.02,8979000
27-Oct,2021,299,1067.1,-0.11,8970624
28-Oct,2021,300,1066.98,-0.12,8961212
29-Oct,2021,301,1066.86,-0.12,8951818
30-Oct,2021,302,1066.8,-0.06,8947122
31-Oct,2021,303,1066.77,-0.03,8944773
1-Nov,2021,304,1066.64,-0.13,8934597
2-Nov,2021,305,1066.51,-0.13,8924000
3-Nov,2021,306,1066.36,-0.15,8913000
4-Nov,2021,307,1066.23,-0.13,8903000
5-Nov,2021,308,1066.14,-0.09,8896000
6-Nov,2021,309,1066.1,-0.04,8892000
7-Nov,2021,310,1066.04,-0.06,8888000
8-Nov,2021,311,1065.99,-0.05,8884000
9-Nov,2021,312,1065.94,-0.05,8880000
10-Nov,2021,313,1065.92,-0.02,8878000
11-Nov,2021,314,1065.86,-0.06,8873689
12-Nov,2021,315,1065.86,0,8873689
13-Nov,2021,316,1065.92,0.06,8878364
14-Nov,2021,317,1065.91,-0.01,8877585
15-Nov,2021,318,1065.9,-0.01,8876806
16-Nov,2021,319,1065.87,-0.03,8874468
17-Nov,2021,320,1065.81,-0.06,8869793
18-Nov,2021,321,1065.75,-0.06,8865118
19-Nov,2021,322,1065.63,-0.12,8855767
20-Nov,2021,323,1065.6,-0.03,8853430
21-Nov,2021,324,1065.57,-0.03,8851092
22-Nov,2021,325,1065.49,-0.08,8844860
23-Nov,2021,326,1065.41,-0.08,8839000
24-Nov,2021,327,1065.31,-0.1,8830867
25-Nov,2021,328,1065.28,-0.03,8829000
26-Nov,2021,329,1065.24,-0.04,8825425
27-Nov,2021,330,1065.22,-0.02,8823870
28-Nov,2021,331,1065.17,-0.05,8819983
29-Nov,2021,332,1065.09,-0.08,8814000
30-Nov,2021,333,1064.97,-0.12,8804441
1-Dec,2021,334,1064.94,-0.03,8802115
2-Dec,2021,335,1064.91,-0.03,8799789
3-Dec,2021,336,1064.91,0,8799789
4-Dec,2021,337,1065,0.09,8807000
5-Dec,2021,338,1065.08,0.08,8813000
6-Dec,2021,339,1065.1,0.02,8814542
7-Dec,2021,340,1065.14,0.04,8817651
8-Dec,2021,341,1065.12,-0.02,8816096
9-Dec,2021,342,1065.2,0.08,8822316
10-Dec,2021,343,1065.25,0.05,8826203
11-Dec,2021,344,1065.32,0.07,8831644
12-Dec,2021,345,1065.4,0.08,8837864
13-Dec,2021,346,1065.44,0.04,8840973
14-Dec,2021,347,1065.56,0.12,8850313
15-Dec,2021,348,1065.46,-0.1,8842528
16-Dec,2021,349,1065.45,-0.01,8841751
17-Dec,2021,350,1065.51,0.06,8846417
18-Dec,2021,351,1065.65,0.14,8857326
19-Dec,2021,352,1065.69,0.04,8860442
20-Dec,2021,353,1065.74,0.05,8864338
21-Dec,2021,354,1065.78,0.04,8867455
22-Dec,2021,355,1065.75,-0.03,8865118
23-Dec,2021,356,1065.8,0.05,8869014
24-Dec,2021,357,1065.92,0.12,8878364
25-Dec,2021,358,1065.97,0.05,8882260
26-Dec,2021,359,1066.1,0.13,8892000
27-Dec,2021,360,1066.12,0.02,8894000
28-Dec,2021,361,1066.15,0.03,8896310
29-Dec,2021,362,1066.17,0.02,8897871
30-Dec,2021,363,1066.19,0.02,8899433
31-Dec,2021,364,1066.39,0.2,8915049
